-1000mbar.csv,-1002mbar.csv,-1003mbar.csv,-1005mbar.csv,-1007mbar.csv,-183mbar.csv,-260mbar.csv,-391mbar.csv,-500mbar.csv,-590mbar.csv,-664mbar.csv,-725mbar.csv,-7mbar.csv,-817mbar.csv,-913mbar.csv,-938mbar.csv,-962mbar.csv,-978mbar.csv,-989mbar.csv,-997mbar.csv,-99mbar.csv,,,-1015mbar_vaq.csv
0.8,0.8,0.8,0.8,0.8,0.96,0.96,0.96,0.96,0.96,0.96,0.88,-1.6,0.64,0.8,0.8,0.8,0.8,0.8,0.72,0.88,,,0.8
0.8,0.8,0.8,0.8,0.8,0.96,0.96,0.96,0.96,0.96,0.96,0.96,-1.68,0.72,0.8,0.8,0.8,0.8,0.8,0.8,0.88,,,0.8
0.8,0.8,0.8,0.8,0.8,0.96,0.96,0.96,1.04,0.88,0.96,0.96,-1.68,0.72,0.88,0.88,0.8,0.8,0.72,0.72,0.88,,,0.8
0.8,0.8,0.8,0.8,0.8,0.96,0.88,0.88,0.96,0.96,0.96,0.88,-1.68,0.64,0.88,0.88,0.88,0.72,0.8,0.8,0.96,,,0.8
0.8,0.8,0.8,0.8,0.8,0.88,0.96,0.96,0.96,0.96,0.96,0.96,-1.68,0.64,0.88,0.88,0.88,0.8,0.72,0.72,0.88,,,0.8
0.8,0.8,0.8,0.8,0.8,0.88,0.96,0.96,0.96,0.96,0.96,0.96,-1.76,0.72,0.8,0.8,0.8,0.8,0.8,0.8,0.88,,,0.8
0.8,0.8,0.8,0.8,0.8,0.88,0.96,0.96,0.96,0.96,0.96,0.96,-1.76,0.72,0.88,0.88,0.8,0.8,0.8,0.8,0.8,,,0.8
0.8,0.8,0.72,0.8,0.8,0.96,0.96,0.96,0.96,0.96,0.96,0.96,-1.76,0.72,0.8,0.88,0.8,0.8,0.8,0.8,0.88,,,0.8
0.72,0.8,0.8,0.8,0.8,0.88,0.88,0.88,0.96,0.96,0.96,0.96,-1.76,0.72,0.88,0.88,0.8,0.8,0.8,0.8,0.88,,,0.8
0.8,0.8,0.72,0.8,0.8,0.88,0.88,0.96,0.96,0.96,0.96,0.88,-1.76,0.64,0.88,0.88,0.8,0.8,0.8,0.8,0.96,,,0.8
0.88,0.72,0.8,0.8,0.8,0.88,0.96,0.96,0.96,0.96,0.96,0.96,-1.76,0.72,0.88,0.88,0.88,0.8,0.88,0.8,0.88,,,0.8
0.8,0.8,0.88,0.8,0.8,0.88,0.88,1.04,0.96,0.96,0.96,0.96,-1.76,0.8,0.88,0.8,0.8,0.8,0.88,0.88,0.8,,,0.8
0.88,0.8,0.8,0.8,0.72,0.88,0.96,0.96,0.96,0.96,0.96,0.96,-1.76,0.72,0.88,0.8,0.8,0.88,0.88,0.88,0.88,,,0.8
0.8,0.8,0.88,0.8,0.88,0.96,0.96,0.96,0.96,1.04,0.96,0.88,-1.76,0.72,0.88,0.88,0.88,0.8,0.88,0.8,0.88,,,0.8
0.8,0.8,0.8,0.8,0.8,0.88,0.96,0.88,0.96,1.04,0.96,0.96,-1.84,0.72,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,,0.8
0.88,0.8,0.88,0.8,0.8,0.88,0.96,0.96,0.96,1.04,0.96,0.96,-1.84,0.72,0.88,0.88,0.88,0.88,0.88,0.8,0.88,,,0.8
0.8,0.8,0.88,0.8,0.88,0.88,0.88,0.96,0.96,0.96,0.96,0.96,-1.84,0.72,0.96,0.88,0.88,0.88,0.8,0.88,0.88,,,0.8
0.88,0.8,0.8,0.8,0.88,0.88,0.96,0.96,0.96,0.96,1.04,0.96,-1.84,0.72,0.88,0.88,0.88,0.8,0.8,0.88,0.8,,,0.8
0.8,0.88,0.88,0.88,0.8,0.88,0.88,0.88,0.96,0.96,0.96,0.96,-1.76,0.8,0.88,0.96,0.88,0.88,0.8,0.88,0.88,,,0.8
0.88,0.8,0.88,0.88,0.88,0.88,0.88,0.96,0.96,0.96,0.96,0.96,-1.76,0.8,0.88,0.88,0.96,0.8,0.88,0.88,0.8,,,0.88
0.88,0.8,0.88,0.88,0.88,0.88,0.88,0.88,1.04,0.96,1.04,0.96,-1.76,0.8,0.88,0.88,0.96,0.88,0.88,0.88,0.88,,,0.88
0.88,0.88,0.8,0.88,0.88,0.88,0.88,0.96,0.96,0.96,0.96,0.96,-1.76,0.8,0.88,0.96,0.96,0.88,0.88,0.88,0.88,,,0.88
0.88,0.88,0.88,0.88,0.88,0.88,0.96,0.96,0.96,0.96,0.96,1.04,-1.76,0.72,0.88,0.96,0.88,0.96,0.88,0.88,0.88,,,0.8
0.88,0.88,0.88,0.88,0.88,0.88,0.96,0.96,0.96,0.96,1.04,0.96,-1.76,0.8,0.88,0.88,0.88,0.88,0.88,0.8,0.88,,,0.88
0.88,0.88,0.8,0.88,0.88,0.88,0.88,0.88,0.96,1.04,0.96,0.96,-1.76,0.8,0.88,0.88,0.88,0.88,0.88,0.8,0.88,,,0.88
0.88,0.88,0.88,0.88,0.88,0.88,0.96,0.96,0.96,1.04,0.96,0.96,-1.68,0.72,0.96,0.96,0.88,0.88,0.88,0.8,0.88,,,0.88
0.88,0.88,0.88,0.88,0.88,0.88,0.96,0.96,0.96,1.04,0.96,0.96,-1.68,0.8,0.96,0.96,0.96,0.96,0.88,0.88,0.8,,,0.88
0.88,0.88,0.88,0.88,0.8,0.88,0.88,0.88,0.96,1.04,0.96,1.04,-1.68,0.88,0.96,0.96,0.96,0.96,0.88,0.88,0.8,,,0.8
0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.96,0.96,0.96,0.96,0.96,-1.68,0.8,0.96,0.96,0.96,0.96,0.88,0.88,0.88,,,0.8
0.88,0.88,0.88,0.88,0.88,0.8,0.88,0.96,0.96,0.96,0.96,0.96,-1.6,0.8,0.96,0.96,0.96,0.96,0.88,0.88,0.8,,,0.88
0.88,0.96,0.88,0.96,0.88,0.88,0.88,0.96,0.96,0.96,0.96,0.96,-1.6,0.8,0.96,0.96,0.96,0.88,0.88,0.88,0.8,,,0.8
0.88,0.96,0.96,0.88,0.88,0.88,0.88,0.96,0.96,0.96,0.96,0.96,-1.6,0.88,0.88,0.96,0.96,0.96,0.88,0.8,0.8,,,0.88
0.96,0.96,0.96,0.88,0.96,0.88,0.88,0.96,0.96,0.96,1.04,1.04,-1.6,0.88,0.96,0.96,0.96,0.96,0.88,0.88,0.8,,,0.88
0.96,0.96,0.96,0.96,0.88,0.88,0.8,0.96,0.96,0.96,1.04,1.04,-1.52,0.88,0.96,0.96,0.96,0.88,0.88,0.8,0.8,,,0.88
0.96,0.96,0.96,0.96,0.96,0.88,0.88,0.96,0.96,1.04,1.04,1.04,-1.44,0.88,0.96,0.96,0.96,0.96,0.88,0.8,0.8,,,0.8
0.96,0.88,0.88,0.96,0.88,0.88,0.88,0.88,0.96,0.96,0.96,1.04,-1.44,0.8,0.96,0.96,0.96,0.96,0.88,0.8,0.8,,,0.88
0.96,0.88,0.88,0.96,0.88,0.88,0.88,0.96,0.96,0.96,1.04,0.96,-1.44,0.8,0.96,0.96,0.96,1.04,0.96,0.88,0.72,,,0.8
0.96,0.88,0.88,0.96,0.96,0.88,0.88,0.96,0.96,0.96,1.04,0.96,-1.44,0.96,0.96,0.96,0.96,0.96,0.88,0.88,0.8,,,0.88
0.96,0.88,0.96,0.96,0.96,0.88,0.8,0.96,0.96,0.96,0.96,0.96,-1.36,0.96,0.96,0.96,0.96,0.88,0.88,0.88,0.8,,,0.88
0.88,0.88,0.96,0.96,0.96,0.88,0.88,0.96,0.96,0.96,0.96,0.96,-1.28,0.96,0.96,0.88,0.96,0.88,0.88,0.88,0.72,,,0.88
0.96,0.88,0.88,0.96,0.96,0.8,0.8,0.88,0.96,0.96,0.96,0.96,-1.28,0.96,0.96,0.96,0.96,0.88,0.88,0.8,0.72,,,0.8
0.96,0.88,0.96,0.96,0.88,0.8,0.72,0.88,0.96,0.96,0.96,0.96,-1.2,0.96,0.96,0.96,0.96,0.96,0.88,0.8,0.72,,,0.88
0.96,0.88,0.96,0.96,0.96,0.8,0.8,0.88,0.96,0.96,1.04,0.96,-1.12,0.96,0.96,0.96,0.96,0.96,0.88,0.88,0.72,,,0.88
0.88,0.96,0.96,0.96,0.96,0.72,0.8,0.88,0.88,0.96,0.96,0.96,-1.2,0.96,0.88,0.96,0.96,0.96,0.88,0.8,0.72,,,0.88
0.96,0.96,0.88,0.88,0.96,0.8,0.8,0.88,0.96,0.96,1.04,0.96,-1.04,0.96,0.96,0.96,0.96,0.96,0.88,0.8,0.64,,,0.88
0.88,0.96,0.88,0.88,0.96,0.72,0.8,0.88,0.96,0.96,1.04,0.96,-1.12,0.96,0.88,0.88,0.96,0.96,0.88,0.88,0.64,,,0.88
0.88,0.88,0.96,0.88,0.96,0.72,0.72,0.88,0.88,0.96,0.96,0.96,-1.04,0.96,0.96,0.96,0.96,0.96,0.88,0.88,0.72,,,0.8
0.88,0.88,0.88,0.88,0.96,0.72,0.8,0.88,0.88,0.96,0.96,1.04,-1.04,0.96,0.96,0.96,0.88,0.96,0.88,0.8,0.64,,,0.88
0.88,0.88,0.96,0.96,0.88,0.72,0.72,0.96,0.88,0.96,0.96,0.96,-0.96,0.96,0.96,0.96,0.88,0.96,0.8,0.88,0.64,,,0.8
0.96,0.96,0.88,0.96,0.88,0.72,0.72,0.8,0.88,0.96,0.96,0.96,-0.96,0.96,0.96,0.96,0.96,0.96,0.88,0.88,0.64,,,0.88
0.96,0.96,0.96,0.96,0.96,0.72,0.72,0.8,0.88,0.96,0.96,0.96,-0.88,0.96,0.96,0.88,0.96,0.96,0.88,0.88,0.64,,,0.88
0.96,0.88,0.88,0.88,0.88,0.72,0.72,0.88,0.96,0.96,0.96,0.96,-0.88,0.96,0.96,0.96,0.88,0.96,0.88,0.8,0.56,,,0.88
0.88,0.88,0.88,0.96,0.88,0.72,0.72,0.8,0.96,0.88,0.96,0.96,-0.88,0.96,0.96,0.96,0.88,0.96,0.88,0.8,0.56,,,0.88
0.88,0.88,0.88,0.96,0.88,0.64,0.72,0.8,0.88,0.88,0.96,0.88,-0.8,0.96,0.96,0.96,0.88,0.96,0.88,0.8,0.56,,,0.88
0.88,0.96,0.88,0.88,0.96,0.64,0.72,0.88,0.96,0.96,0.96,0.96,-0.8,0.96,0.96,0.96,0.96,0.96,0.88,0.8,0.56,,,0.88
0.88,0.88,0.96,0.88,0.88,0.64,0.72,0.8,0.88,0.96,0.96,0.96,-0.72,0.88,0.96,0.96,0.96,0.96,0.88,0.88,0.56,,,0.96
0.88,0.88,0.88,0.8,0.96,0.64,0.64,0.88,0.88,0.96,0.96,0.96,-0.72,0.88,1.04,0.96,0.96,0.88,0.88,0.88,0.56,,,0.96
0.88,0.8,0.88,0.88,0.96,0.64,0.64,0.72,0.88,0.88,0.96,0.96,-0.64,0.8,0.96,0.96,0.96,0.96,0.88,0.88,0.56,,,0.88
0.88,0.88,0.88,0.96,0.88,0.64,0.56,0.72,0.8,0.88,0.96,0.88,-0.64,0.88,0.96,0.96,0.96,0.88,0.96,0.88,0.56,,,0.88
0.96,0.88,0.88,0.96,0.96,0.64,0.56,0.8,0.88,0.88,0.96,0.96,-0.56,0.96,0.96,0.96,0.96,0.88,0.96,0.88,0.56,,,0.96
0.96,0.88,0.88,0.88,0.96,0.56,0.64,0.8,0.88,0.88,0.96,0.88,-0.56,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.48,,,0.96
0.96,0.96,0.96,0.96,0.96,0.56,0.56,0.8,0.8,0.96,0.96,0.96,-0.48,0.96,0.96,0.96,0.88,0.88,0.88,0.96,0.56,,,0.96
0.88,0.88,0.96,0.96,0.96,0.56,0.56,0.72,0.8,0.88,0.96,0.96,-0.48,0.96,0.96,0.96,0.96,0.96,0.88,0.96,0.48,,,0.96
0.88,0.96,0.88,0.88,0.96,0.56,0.56,0.72,0.8,0.88,0.88,0.96,-0.48,0.96,0.96,0.96,0.88,0.96,0.96,0.96,0.4,,,0.96
0.88,0.96,0.96,0.88,0.96,0.56,0.56,0.72,0.88,0.88,0.88,0.96,-0.4,0.88,0.96,0.96,0.96,0.96,0.96,0.96,0.4,,,0.88
0.96,0.96,0.96,0.88,0.96,0.56,0.56,0.72,0.8,0.96,0.96,0.96,-0.4,0.96,0.96,0.96,0.96,0.96,0.88,0.88,0.4,,,0.96
0.96,0.96,0.96,0.96,0.96,0.56,0.56,0.72,0.8,0.88,0.88,0.96,-0.32,0.96,0.96,0.96,0.96,0.96,0.88,0.88,0.4,,,0.88
0.96,0.96,0.88,0.96,0.96,0.56,0.56,0.72,0.8,0.96,0.96,0.96,-0.32,0.88,0.96,0.96,0.96,0.96,0.96,0.96,0.4,,,0.96
0.96,0.96,0.96,0.96,0.96,0.48,0.56,0.72,0.8,0.88,0.96,0.96,-0.32,0.96,0.96,0.96,0.96,0.96,0.96,0.88,0.4,,,0.96
0.96,0.96,0.96,0.96,0.96,0.56,0.56,0.72,0.8,0.96,0.96,0.96,-0.32,0.96,0.96,0.96,0.96,0.96,0.96,0.88,0.4,,,0.96
0.96,0.96,0.96,0.96,0.96,0.48,0.48,0.72,0.8,0.88,0.96,0.96,-0.24,0.96,1.04,0.96,0.96,0.96,0.96,0.96,0.4,,,0.96
